model,provider,proportion,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gemini-2.5-pro,google,0.0,0,0,3759,4096,0.8,4483,1011,0.01571375,29540.791084000375,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.0,1,0,3759,4096,0.8,4483,1148,0.01708375,26911.70033399976,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.0,2,0,3759,4096,0.8,4483,1000,0.01560375,27793.321625002136,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.0,3,0,3759,4096,0.8,4483,955,0.01515375,17178.91437500657,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.0,4,0,3759,4096,0.8,4483,1046,0.01606375,27374.138416998903,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.1,0,375,3384,4096,0.8,4471,1449,0.02007875,32504.72387499758,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.1,1,375,3384,4096,1.0,4471,1662,0.02220875,35226.107459006016,1,1,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.1,2,375,3384,4096,0.8,4471,1521,0.02079875,37646.65129200148,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.1,3,375,3384,4096,0.8,4471,1532,0.02090875,28140.94495899917,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.1,4,375,3384,4096,0.8,4471,1509,0.02067875,32426.162124997063,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.25,0,939,2820,4096,0.7,4452,1589,0.021455,39337.04224999383,0,0,1,1,1,1,1,1,1,0
gemini-2.5-pro,google,0.25,1,939,2820,4096,0.8,4452,1563,0.021195,34017.46970899694,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.25,2,939,2820,4096,0.8,4452,1403,0.019595,25599.360749998596,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.25,3,939,2820,4096,0.8,4452,1456,0.020125,34274.23516700219,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.25,4,939,2820,4096,0.8,4452,1468,0.020245,36247.97929099441,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.5,0,1879,1880,4096,0.8,4405,1503,0.02053625,31791.497457998048,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.5,1,1879,1880,4096,0.8,4405,1335,0.01885625,34002.872458004276,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.5,2,1879,1880,4096,0.8,4405,1364,0.01914625,29385.887208001805,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.5,3,1879,1880,4096,0.8,4405,978,0.01528625,25701.38266700087,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.5,4,1879,1880,4096,0.8,4405,1212,0.01762625,36128.546207997715,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.75,0,2819,940,4096,0.8,4383,1367,0.01914875,29138.306792003277,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.75,1,2819,940,4096,0.8,4383,1223,0.01770875,24000.424249999924,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.75,2,2819,940,4096,0.8,4383,1642,0.02189875,30082.42454200081,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.75,3,2819,940,4096,0.8,4383,1267,0.01814875,40959.98183300253,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.75,4,2819,940,4096,0.8,4383,1578,0.02125875,37037.50820899586,0,0,1,1,1,1,1,1,1,1
gemini-2.5-pro,google,0.9,0,3383,376,4096,0.6,4364,1226,0.017715,30759.677249996457,0,0,1,1,1,1,1,0,0,1
gemini-2.5-pro,google,0.9,1,3383,376,4096,0.7,4364,1306,0.018515,37470.39879100339,0,1,1,1,1,1,1,0,0,1
gemini-2.5-pro,google,0.9,2,3383,376,4096,0.6,4364,1275,0.018205,38553.64158299926,0,0,1,1,1,1,1,0,0,1
gemini-2.5-pro,google,0.9,3,3383,376,4096,0.6,4364,1314,0.018595,44534.89683299995,0,1,1,1,1,1,1,0,0,0
gemini-2.5-pro,google,0.9,4,3383,376,4096,0.7,4364,1257,0.018025,35488.22320900217,0,1,1,1,1,1,1,0,0,1
